ind,Province/State,Country/Region,Lat,Long,datetime,confirmed_case
358,,South Korea,37.5665,126.978,2020-01-26,3.0
359,Taiwan,Taiwan,23.6978,120.9605,2020-01-26,4.0
360,Washington,US,47.7511,-120.74,2020-01-26,1.0
361,Illinois,US,40.6331,-89.3985,2020-01-26,1.0
362,California,US,36.7783,-119.41799999999999,2020-01-26,2.0
363,Arizona,US,34.0489,-111.094,2020-01-26,1.0
364,Macau,Macau,22.1987,113.5439,2020-01-26,6.0
365,Hong Kong,Hong Kong,22.3193,114.1694,2020-01-26,8.0
366,,Singapore,1.3521,103.8198,2020-01-26,4.0
367,,Vietnam,21.0278,105.8342,2020-01-26,2.0
368,,France,46.2276,2.2137,2020-01-26,3.0
369,,Nepal,28.3949,84.124,2020-01-26,1.0
370,,Malaysia,4.2105,101.9758,2020-01-26,4.0
371,Ontario,Canada,43.6532,-79.3832,2020-01-26,1.0
373,New South Wales,Australia,-33.8688,151.2093,2020-01-26,3.0
374,Victoria,Australia,-37.8136,144.9631,2020-01-26,1.0
390,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-27,106.0
391,Beijing,Mainland China,40.18238,116.4142,2020-01-27,80.0
392,Chongqing,Mainland China,30.05718,107.874,2020-01-27,132.0
393,Fujian,Mainland China,26.07783,117.9895,2020-01-27,59.0
394,Gansu,Mainland China,36.0611,103.8343,2020-01-27,19.0
395,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-27,151.0
396,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-27,51.0
397,Guizhou,Mainland China,26.81536,106.8748,2020-01-27,9.0
398,Hainan,Mainland China,19.19673,109.7455,2020-01-27,33.0
399,Hebei,Mainland China,38.0428,114.5149,2020-01-27,33.0
400,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-27,30.0
401,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-27,168.0
402,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-27,2714.0
403,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-27,100.0
404,Inner Mongolia,Mainland China,44.09448,113.9456,2020-01-27,11.0
405,Jiangsu,Mainland China,32.97027,119.464,2020-01-27,70.0
406,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-27,72.0
407,Jilin,Mainland China,43.66657,126.1917,2020-01-27,6.0
408,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-27,27.0
409,Ningxia,Mainland China,37.26923,106.1655,2020-01-27,7.0
410,Qinghai,Mainland China,35.65945,96.02564,2020-01-27,6.0
411,Shaanxi,Mainland China,35.19165,108.8701,2020-01-27,35.0
412,Shandong,Mainland China,36.34377,118.1529,2020-01-27,87.0
413,Shanghai,Mainland China,31.20327,121.4554,2020-01-27,66.0
414,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-27,20.0
415,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-27,90.0
416,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-27,23.0
418,Xinjiang,Mainland China,41.11981,85.17822,2020-01-27,5.0
419,Yunnan,Mainland China,24.97411,101.4868,2020-01-27,26.0
420,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-27,173.0
421,,Thailand,13.7563,100.5018,2020-01-27,8.0
422,,Japan,35.6762,139.6503,2020-01-27,4.0
423,,South Korea,37.5665,126.978,2020-01-27,4.0
424,Taiwan,Taiwan,23.6978,120.9605,2020-01-27,5.0
425,Washington,US,47.7511,-120.74,2020-01-27,1.0
426,Illinois,US,40.6331,-89.3985,2020-01-27,1.0
427,California,US,36.7783,-119.41799999999999,2020-01-27,2.0
428,Arizona,US,34.0489,-111.094,2020-01-27,1.0
429,Macau,Macau,22.1987,113.5439,2020-01-27,6.0
430,Hong Kong,Hong Kong,22.3193,114.1694,2020-01-27,8.0
431,,Singapore,1.3521,103.8198,2020-01-27,5.0
432,,Vietnam,21.0278,105.8342,2020-01-27,2.0
433,,France,46.2276,2.2137,2020-01-27,3.0
434,,Nepal,28.3949,84.124,2020-01-27,1.0
435,,Malaysia,4.2105,101.9758,2020-01-27,4.0
